Order_ID,Order_Date,Ship_Date,Ship_Mode,Segment,Region,State,City,Category,Sub_Category,Sales,Quantity,Discount,Profit
ORD-2024000,2024-03-21,2024-03-27,Standard Class,Corporate,Central,Illinois,Chicago,Technology,Phones,605.7,7,0.15,42.54
ORD-2024001,2026-05-25,2026-06-01,Second Class,Consumer,West,Oregon,Portland,Technology,Accessories,240.34,4,0.4,-12.64
ORD-2024002,2026-03-07,2026-03-09,Standard Class,Corporate,South,Tennessee,Nashville,Office Supplies,Binders,162.46,7,0.0,43.48
ORD-2024003,2026-05-20,2026-05-24,Standard Class,Consumer,West,Washington,Seattle,Furniture,Chairs,2116.16,9,0.3,-68.8
ORD-2024004,2024-03-09,2024-03-13,Second Class,Corporate,South,Florida,Miami,Furniture,Bookcases,701.21,5,0.2,83.77
ORD-2024005,2025-08-23,2025-08-25,Standard Class,Consumer,West,Nevada,Las Vegas,Technology,Copiers,12473.44,9,0.1,1992.19
ORD-2024006,2025-12-22,2025-12-24,Standard Class,Consumer,South,Tennessee,Nashville,Office Supplies,Storage,805.39,7,0.2,87.7
ORD-2024007,2025-02-15,2025-02-19,Standard Class,Corporate,Central,Michigan,Detroit,Office Supplies,Storage,677.88,6,0.2,140.25
ORD-2024008,2025-06-24,2025-06-26,Standard Class,Consumer,West,Washington,Seattle,Furniture,Tables,2459.9,4,0.0,261.84
ORD-2024009,2024-07-28,2024-08-01,Standard Class,Consumer,Central,Texas,Houston,Technology,Machines,6220.52,4,0.1,787.16
ORD-2024010,2024-04-05,2024-04-07,Standard Class,Consumer,South,North Carolina,Charlotte,Office Supplies,Labels,8.51,2,0.5,0.13
ORD-2024011,2024-05-16,2024-05-19,Second Class,Home Office,West,Oregon,Portland,Office Supplies,Art,21.32,4,0.0,4.27
ORD-2024012,2025-02-14,2025-02-17,Standard Class,Home Office,South,Tennessee,Nashville,Technology,Accessories,357.26,7,0.3,-37.87
ORD-2024013,2024-09-01,2024-09-07,Standard Class,Corporate,East,New Jersey,Newark,Office Supplies,Paper,18.2,5,0.4,0.83
ORD-2024014,2024-10-03,2024-10-08,Standard Class,Consumer,East,New Jersey,Newark,Office Supplies,Art,12.46,1,0.3,2.6
ORD-2024015,2024-02-07,2024-02-13,Standard Class,Corporate,East,New York,New York City,Furniture,Bookcases,3373.56,9,0.2,-169.13
ORD-2024016,2024-05-15,2024-05-22,Standard Class,Corporate,West,Washington,Seattle,Technology,Phones,254.13,1,0.2,16.05
ORD-2024017,2025-03-16,2025-03-22,Standard Class,Home Office,West,Nevada,Las Vegas,Office Supplies,Paper,36.28,3,0.0,13.25
ORD-2024018,2024-09-28,2024-10-03,First Class,Consumer,West,California,Los Angeles,Technology,Phones,866.63,3,0.3,-16.97
ORD-2024019,2025-10-14,2025-10-21,Same Day,Consumer,East,New York,New York City,Office Supplies,Binders,43.46,3,0.4,4.65
ORD-2024020,2025-07-23,2025-07-26,First Class,Home Office,Central,Michigan,Detroit,Office Supplies,Fasteners,37.97,9,0.15,3.49
ORD-2024021,2024-02-10,2024-02-12,Standard Class,Corporate,Central,Ohio,Columbus,Technology,Copiers,8821.56,5,0.1,948.76
ORD-2024022,2026-03-06,2026-03-08,Standard Class,Consumer,Central,Michigan,Detroit,Office Supplies,Binders,150.62,9,0.0,62.94
ORD-2024023,2024-04-20,2024-04-24,Standard Class,Consumer,Central,Michigan,Detroit,Furniture,Furnishings,278.05,9,0.3,-8.78
ORD-2024024,2026-04-18,2026-04-20,Standard Class,Corporate,East,New York,New York City,Furniture,Chairs,843.32,7,0.1,44.31
ORD-2024025,2025-03-30,2025-04-06,Standard Class,Consumer,South,Florida,Miami,Technology,Machines,2005.73,4,0.0,379.25
ORD-2024026,2024-04-28,2024-05-02,Standard Class,Corporate,Central,Michigan,Detroit,Technology,Machines,5934.0,3,0.15,471.16
ORD-2024027,2024-01-23,2024-01-29,First Class,Consumer,East,New Jersey,Newark,Technology,Accessories,93.45,2,0.5,-16.17
